#NAME?,tree_dbh,stump_diam,status
188761,17,0,Alive
189940,13,0,Alive
163875,14,0,Alive
171588,25,0,Alive
181473,12,0,Alive
179494,8,0,Alive
179651,17,0,Alive
188661,5,0,Alive
188386,18,0,Alive
192037,29,0,Alive
190115,17,0,Alive
119244,18,0,Alive
121659,9,0,Alive
143237,16,0,Alive
132105,39,0,Alive
118769,5,0,Alive
151575,25,0,Alive
143026,32,0,Alive
165029,35,0,Alive
157920,3,0,Alive
131562,24,0,Alive
153022,19,0,Alive
162964,16,0,Alive
159649,6,0,Alive
164329,39,0,Alive
176111,3,0,Alive
178894,4,0,Alive
162178,20,0,Alive
73302,8,0,Alive
191083,6,0,Alive
163225,17,0,Alive
184448,8,0,Alive
203468,15,0,Alive
183939,3,0,Alive
183941,4,0,Alive
191268,9,0,Alive
201655,5,0,Alive
189587,31,0,Alive
180306,3,0,Alive
198018,8,0,Alive
198020,6,0,Alive
164685,4,0,Alive
170671,3,0,Alive
162756,18,0,Alive
179127,32,0,Alive
172273,12,0,Alive
186754,21,0,Alive
178264,10,0,Alive
178434,18,0,Alive
164151,14,0,Alive
179202,4,0,Alive
175792,11,0,Alive
175281,3,0,Alive
155427,8,0,Alive
176428,9,0,Alive
172782,26,0,Alive
157533,12,0,Alive
198291,4,0,Alive
200363,10,0,Alive
183936,4,0,Alive
203805,10,0,Alive
204158,7,0,Alive
208787,14,0,Alive
189469,4,0,Alive
189618,4,0,Alive
205830,16,0,Alive
184319,4,0,Alive
184168,2,0,Alive
155673,6,0,Alive
201933,2,0,Alive
208457,30,0,Alive
208555,20,0,Alive
208866,16,0,Alive
163101,8,0,Alive
175099,6,0,Alive
135634,15,0,Alive
147189,12,0,Alive
166718,18,0,Alive
138199,6,0,Alive
166477,22,0,Alive
178550,12,0,Alive
185627,17,0,Alive
185670,3,0,Alive
183686,27,0,Alive
192223,31,0,Alive
178385,19,0,Alive
147397,5,0,Alive
178387,4,0,Alive
186324,19,0,Alive
191989,5,0,Alive
203721,14,0,Alive
189332,16,0,Alive
198109,6,0,Alive
209105,10,0,Alive
189551,20,0,Alive
208371,26,0,Alive
177285,2,0,Alive
191378,4,0,Alive
146736,2,0,Alive
147983,4,0,Alive
133750,4,0,Alive
172058,4,0,Alive
175959,3,0,Alive
184715,4,0,Alive
158050,3,0,Alive
159658,8,0,Alive
173394,4,0,Alive
185008,2,0,Alive
176563,2,0,Alive
170024,3,0,Alive
186382,3,0,Alive
175704,4,0,Alive
185163,4,0,Alive
179766,30,30,Stump
191379,5,0,Alive
191380,6,0,Alive
180619,10,10,Stump
184295,0,0,Dead
208828,15,15,Stump
127639,4,0,Alive
181973,25,25,Stump
194456,3,0,Alive
208821,11,0,Alive
200699,17,0,Alive
194260,4,0,Alive
184166,2,0,Alive
188408,10,0,Alive
165046,6,0,Alive
194919,12,0,Alive
200201,11,0,Alive
200210,8,0,Alive
181351,17,0,Alive
174172,5,0,Alive
189839,9,0,Alive
189403,11,0,Alive
210535,11,0,Alive
120819,3,0,Alive
163121,3,0,Alive
163122,3,0,Alive
181988,12,0,Alive
189412,7,0,Dead
175957,2,0,Alive
163721,4,0,Alive
163722,5,0,Alive
179765,16,0,Alive
149749,5,0,Alive
171159,3,0,Alive
179530,4,0,Alive
189526,4,0,Dead
196477,32,0,Alive
183944,3,0,Alive
186502,18,0,Alive
199052,4,0,Alive
205036,14,0,Alive
208762,12,0,Alive
180435,9,0,Alive
184561,15,0,Alive
191999,2,0,Alive
209062,8,0,Alive
203313,11,0,Alive
170507,11,0,Alive
192803,5,0,Alive
199737,9,0,Alive
208218,11,0,Alive
187260,7,0,Alive
156710,4,0,Alive
175313,7,0,Alive
163815,4,0,Alive
188530,5,0,Alive
178804,2,0,Alive
175294,6,0,Alive
184820,6,0,Alive
192393,15,0,Alive
165000,9,0,Alive
163896,12,0,Alive
156127,6,0,Alive
204212,2,0,Alive
178415,7,0,Alive
187057,8,0,Alive
190383,10,0,Alive
190208,11,0,Alive
210539,10,0,Alive
190433,9,0,Alive
176350,6,0,Alive
196606,13,0,Alive
162814,3,0,Alive
188754,3,0,Alive
169991,8,0,Alive
181198,2,0,Alive
208989,2,0,Alive
204209,2,0,Alive
173021,3,0,Alive
190203,17,0,Alive
200680,38,0,Alive
183602,12,0,Alive
201818,2,0,Alive
204024,3,0,Alive
193394,9,0,Alive
195249,15,0,Alive
208919,12,0,Alive
190437,11,0,Alive
208200,13,0,Alive
209557,11,0,Alive
182847,6,0,Alive
210642,11,0,Alive
153586,8,0,Alive
171066,3,0,Alive
184051,10,0,Alive
171519,3,0,Alive
198323,11,0,Alive
158851,3,0,Alive
